timestamp,server,cpu_idle,memory_idle,tasks_in_progress
2025-03-27 13:55:28,server3,65.64,72.29,0
2025-03-27 13:55:29,server1,60.46,69.86,1
2025-03-27 13:55:29,server2,62.91,79.58,0
2025-03-27 13:55:29,server3,65.64,72.29,0
2025-03-27 13:55:30,server1,60.46,69.86,1
2025-03-27 13:55:30,server2,62.91,79.58,0
2025-03-27 13:55:30,server3,65.64,72.29,0
2025-03-27 13:55:31,server1,60.46,69.86,1
2025-03-27 13:55:31,server2,62.91,79.58,0
2025-03-27 13:55:31,server3,65.64,72.29,0
2025-03-27 13:55:32,server1,60.46,69.86,1
2025-03-27 13:55:32,server2,62.91,79.58,0
